JnlTitle,Publisher,PubCountry,Fee,WaiverPolicy,Identifiers,FirstYear,Language,ReviewProcess,Plagiarism,Sub2Pub,JnlLicense,AuthorCopyright,DOAJ_Seal
Botanica Serbica,University of Belgrade,Serbia,No,NA,DOI,2009,English,Double blind peer review,NA,34,Publisher's own license,False,No
DETUROPE,Društvo za Regionalne Nauke,Serbia,No,NA,,2009,"Czech, English, German, Hungarian, Serbian",Double blind peer review,NA,24,CC BY,True,No
Economic Analysis,Institute of Economic Sciences,Serbia,No,NA,,2007,English,Double blind peer review,NA,7,CC BY-NC-ND,False,No
Telfor Journal,"Telecommunications Society, Academic Mind",Serbia,No,NA,,2009,English,Blind peer review,Yes,23,Publisher's own license,False,No
Ratarstvo i Povrtarstvo,"Institute of field and vegetable crops, Novi Sad",Serbia,No,NA,DOI,2010,"English, Serbian",Double blind peer review,Yes,4,CC BY,True,No
Applied Research in Health and Social Sciences: Interface and Interaction,De Gruyter Open,Lithuania,Yes,NA,DOI,2015,English,Peer review,Yes,15,CC BY-NC-ND,True,No
Meno Istorija ir Kritika,De Gruyter Open,Poland,No,NA,DOI,2017,English,Double blind peer review,Yes,24,CC BY-NC-ND,False,No
Lietuvių Kalba,Vilnius University ,Lithuania,No,NA,DOI,2007,"English, German, Lithuanian",Double blind peer review,Yes,6,CC BY-NC,True,No
Management Theory and Studies for Rural Business and Infrastructure Development,Aleksandras Stulginskis University,Lithuania,Yes,NA,DOI,2006,"English, Lithuanian",Double blind peer review,Yes,3,CC BY-NC,False,No
Problems of Education in the 21st Century,Scientia Socialis,Lithuania,Yes,NA,,2007,English,Double blind peer review,Yes,6,CC BY-NC,False,No
European Integration Studies,Kaunas University of Technology,Lithuania,No,NA,DOI,2011,English,Double blind peer review,Yes,20,CC BY-ND,True,No
Journal of Design and the Built Environment,University of Malaya,Malaysia,No,NA,,2012,"English, Malay",Blind peer review,Yes,16,CC BY,False,No
International Medical Journal Malaysia,International Islamic University Malaysia,Malaysia,Yes,NA,,2010,English,Double blind peer review,Yes,16,Publisher's own license,False,No
Journal of Engineering Science and Technology,Taylor's University,Malaysia,No,NA,,2006,English,Double blind peer review,NA,12,Publisher's own license,False,No
Asian Academy of Management Journal of Accounting and Finance,Universiti Sains Malaysia,Malaysia,No,NA,,2012,English,Blind peer review,Yes,20,CC BY,False,No
International Journal of Asia-Pacific Studies,Penerbit Universiti Sains Malaysia,Malaysia,No,NA,,2005,English,Double blind peer review,Yes,20,CC BY,False,No
Journal of Construction in Developing Countries,Penerbit Universiti Sains Malaysia,Malaysia,No,NA,,2006,English,Double blind peer review,NA,20,CC BY,False,No
Journal of Al-Tamaddun,University of Malaya,Malaysia,No,NA,,2008,"Arabic, English, Malay",Double blind peer review,NA,8,Publisher's own license,False,No
Asian Journal of University Education,UiTM Publisher,Malaysia,No,NA,,2009,English,Double blind peer review,Yes,20,Publisher's own license,True,No
Malaysian Journal of Microbiology,Malaysian Society for Microbiology,Malaysia,Yes,NA,DOI,2005,English,Blind peer review,NA,11,CC BY-NC,False,No
Forest@,Italian Society of Silviculture and Forest Ecology (SISEF),Italy,No,NA,DOI,2004,Italian,Peer review,NA,8,CC BY-NC,False,No
JCOM: Journal of Science Communication,Sissa Medialab,Italy,No,NA,,2002,English,Double blind peer review,NA,5,CC BY-NC-ND,True,No
The European Journal of Comparative Economics,European Association for Comparative Economic Studies and Universita Carlo Cattaneo,Italy,No,NA,,2004,English,Double blind peer review,Yes,52,Publisher's own license,True,No
Mediterranea. Ricerche Storiche,Mediterranea Associazione no profit,Italy,No,NA,DOI,2004,"English, French, Italian, Spanish; Castilian",Double blind peer review,NA,20,Publisher's own license,True,No
LEA : Lingue e Letterature d'Oriente e d'Occidente,Firenze University Press,Italy,No,NA,DOI,2012,"English, Italian",Double blind peer review,NA,20,CC BY-NC-ND,True,Yes
Le Simplegadi,University of Udine,Italy,No,NA,DOI,2003,"English, Italian",Blind peer review,NA,24,CC BY,True,Yes
Publif@rum,Università di Genova ,Italy,No,NA,,2004,"French, Italian",Double blind peer review,NA,15,Publisher's own license,False,No
Studi Slavistici,Firenze University Press,Italy,No,NA,DOI,2004,English,Double blind peer review,NA,20,CC BY-NC-ND,True,No
Proceedings of Science,Sissa Medialab,Italy,No,NA,We have alreaday asked a Doi,1999,English,Editorial review,NA,6,CC BY-NC-ND,True,No
Laboratorio dell'ISPF,Consiglio Nazionale delle Ricerche,Italy,No,NA,DOI,2004,"English, French, Italian",Peer review,NA,12,CC BY-NC,False,No
Kervan. International Journal of Afro-Asiatic Studies,Università degli Studi di Torino,Italy,No,NA,DOI,2005,"English, Italian",Double blind peer review,NA,18,CC BY,True,No
Etica e Politica/Ethics and Politics,EUT,Italy,No,NA,"DOI, URI",1999,"English, French, German, Italian, Portuguese, Spanish; Castilian",Double blind peer review,NA,20,CC BY-NC-SA,True,No
Form@re : Open Journal per la Formazione in Rete,Firenze University Press,Italy,No,NA,DOI,2010,"English, Italian",Double blind peer review,NA,6,CC BY-NC-ND,True,No
Heart International,Wichtig,Italy,Yes,NA,DOI,2006,English,Blind peer review,Yes,7,CC BY-NC-ND,False,No
Je-LKS : Journal of e-Learning and Knowledge Society,Italian e-Learning Association,Italy,No,NA,,2007,English,Double blind peer review,NA,12,CC BY,False,No
Storia delle Donne,Firenze University Press,Italy,No,NA,DOI,2005,"English, French, Italian",Double blind peer review,NA,20,CC BY,True,Yes
Ethnorêma,Ethnorêma Association ,Italy,No,NA,DOI,2005,"English, French, Italian",Double blind peer review,NA,8,CC BY-NC,True,No
Journal of Biological Research,PAGEPress Publications,Italy,Yes,Yes,DOI,2009,English,Blind peer review,Yes,10,CC BY-NC,True,No
Engramma,Associazione Culturale Engramma,Italy,No,NA,,2000,Italian,Double blind peer review,NA,5,CC BY-NC,False,No
Temilavoro.it : Sinossi Internet di Diritto del Lavoro e della Sicurezza Sociale,Temilavoro.it,Italy,No,NA,,2011,"English, French, Italian, Spanish; Castilian",Double blind peer review,NA,4,CC BY,True,No
Interaction Design and Architecture(s),Scuola IaD,Italy,No,NA,,2005,English,Double blind peer review,NA,20,CC BY-NC-ND,False,No
Emergency Care Journal,PAGEPress Publications,Italy,No,Yes,DOI,2005,"English, Italian",Blind peer review,Yes,10,CC BY-NC,True,Yes
inTRAlinea: Online Translation Journal,University of Bologna,Italy,No,NA,"We use our own Permalink system. Every article is identified with a unique, permanent URL.",1998,"English, French, German, Italian, Polish, Spanish; Castilian",Double blind peer review,NA,12,CC BY-NC-ND,True,No
Geospatial Health,PAGEPress Publications,Italy,Yes,Yes,DOI,2006,English,Blind peer review,Yes,10,CC BY-NC,True,No
Annali di Storia di Firenze,Firenze University Press,Italy,No,NA,DOI,2006,Italian,Double blind peer review,NA,20,CC BY,True,Yes
Acta Herpetologica,Firenze University Press,Italy,No,NA,DOI,2006,English,Double blind peer review,NA,12,CC BY,True,No
Acque Sotterranee,PAGEPress Publications,Italy,No,NA,DOI,2012,"English, Italian",Blind peer review,Yes,8,CC BY-NC,True,No
Disegnare con,University of L'Aquila,Italy,No,NA,,2008,"English, Italian, Portuguese, Spanish; Castilian",Double blind peer review,NA,3,CC BY-NC,True,No
Atti della Accademia Peloritana dei Pericolanti - Classe di Scienze Medico-Biologiche,Accademia Peloritana dei Pericolanti,Italy,No,NA,DOI,2017,English,Peer review,NA,6,CC BY,True,No
Strategies in Trauma and Limb Reconstruction,Springer,Germany,No,NA,DOI,2006,English,Blind peer review,Yes,13,CC BY,True,Yes
Rivista di Psicologia Clinica. Teorie e metodi dell'intervento,Rivista di Psicologia Clinica,Italy,No,NA,DOI,2006,"English, Italian",Double blind peer review,NA,24,CC BY,True,No
Armenian Journal of Mathematics,Republic of Armenia National Academy of Sciences,Armenia,No,NA,,2008,English,Blind peer review,NA,48,CC BY,True,No
Imastut'yun,Armenian State Pedagogical University,Armenia,No,NA,DOI,2013,"Armenian, English, Russian",Double blind peer review,Yes,20,CC BY-NC,True,No
Jurnal Jurisprudence,Muhammadiyah University Press,Indonesia,No,NA,,2014,Indonesian,Blind peer review,NA,24,CC BY,False,No
Jurnal Hubungan Internasional,Universitas Muhammadiyah Yogyakarta,Indonesia,Yes,Yes,DOI,2012,"English, Indonesian",Double blind peer review,NA,8,CC BY-NC,False,No
Jurnal Pendidikan Agama Islam,Department of Islamic Education,Indonesia,No,NA,DOI,2014,Indonesian,Double blind peer review,Yes,8,CC BY-SA,True,No
Jurnal Civics: Media Kajian Kewarganegaraan,Universitas Negeri Yogyakarta,Indonesia,No,NA,,2016,Indonesian,Double blind peer review,NA,8,CC BY-NC-SA,True,No
Performance,Jenderal Soedirman University,Indonesia,No,NA,,2006,"English, Indonesian",Double blind peer review,NA,24,CC BY,False,No
Jurnal Ilmu Komunikasi,Universitas Atma Jaya Yogyakarta,Indonesia,No,NA,DOI,2004,"English, Indonesian",Peer review,NA,24,CC BY,False,No
Telematika,"Universitas Pembangunan Nasional ""Veteran"" Yogyakarta",Indonesia,No,NA,,2010,Indonesian,Peer review,NA,24,CC BY-NC-SA,False,No
"Majalah Kulit, Karet, dan Plastik","Center for Leather, Rubber, and Plastics",Indonesia,No,NA,DOI,1984,"English, Indonesian",Double blind peer review,Yes,16,CC BY,True,No
Jurnal Hukum Islam,Sekolah Tinggi Agama Islam Negeri (STAIN) Pekalongan,Indonesia,No,NA,,2014,Indonesian,Peer review,NA,24,CC BY-SA,False,No
Jurnal Entomologi Indonesia,Perhimpunan Entomologi Indonesia,Indonesia,Yes,NA,,2004,"English, Indonesian",Blind peer review,NA,32,CC BY-SA,False,No
Jurnal Fisika Flux,Unlam Press,Indonesia,No,NA,,2016,Indonesian,Peer review,NA,20,CC BY,False,No
Jurnal Studi Agama dan Masyarakat,LP2M IAIN Palangka Raya,Indonesia,No,NA,,2016,Indonesian,Double blind peer review,NA,24,CC BY-SA,False,No
Jurnal Ilmiah Pertanian,Universitas Lancang Kuning,Indonesia,Yes,NA,,2016,Indonesian,Blind peer review,NA,14,CC BY-NC-ND,False,No
Kapal,Diponegoro University,Indonesia,No,NA,,2010,Indonesian,Peer review,Yes,2,CC BY-NC-ND,False,No
JAKI (Jurnal Akuntansi dan Keuangan Indonesia),Universitas Indonesia,Indonesia,No,NA,DOI,2004,"English, Indonesian",Double blind peer review,Yes,48,CC BY-SA,True,No
Jurnal Ilmu Lingkungan,Diponegoro University,Indonesia,No,NA,DOI,2011,Indonesian,Blind peer review,Yes,12,CC BY,False,No
Cakrawala: Jurnal Studi Islam,Universitas Muhammadiyah Magelang,Indonesia,Yes,NA,,2015,Indonesian,Peer review,NA,16,CC BY-NC,False,No
Mazahib,IAIN Samarinda,Indonesia,No,NA,DOI,2012,"Arabic, English, Indonesian",Double blind peer review,Yes,4,CC BY-SA,False,No
Imajinasi,Universitas Negeri Semarang,Indonesia,No,NA,,2014,Indonesian,Peer review,NA,24,CC BY,False,No
Lingua,Universitas Negeri Semarang,Indonesia,No,NA,,2010,"English, Indonesian",Blind peer review,NA,24,CC BY,False,No
Jurnal Jaffray,Sekolah Tinggi Theologia Jaffray,Indonesia,Yes,NA,,2009,"English, Indonesian",Peer review,NA,4,CC BY-NC,False,No
Jurnal Ilmiah Ekonomi dan Bisnis,Universitas Lancang Kuning,Indonesia,Yes,NA,,2014,Indonesian,Peer review,NA,12,CC BY-NC-ND,False,No
Jurnal Penelitian,Sekolah Tinggi Agama Islam Negeri (STAIN) Pekalongan,Indonesia,No,NA,,2008,"English, Indonesian",Peer review,NA,24,CC BY,False,No
Provenance : The Journal of Public Record Office Victoria,Public Record Office Victoria,Australia,No,NA,,2003,English,Double blind peer review,NA,15,Publisher's own license,True,No
The Bible and Critical Theory,Newcastle University,Australia,No,NA,,2006,English,Double blind peer review,NA,36,CC BY-NC,True,No
Foucault Studies,Copenhagen Business School,Denmark,No,NA,DOI,2004,English,Double blind peer review,NA,36,CC BY-NC-ND,True,No
Cosmos and History : the Journal of Natural and Social Philosophy,Cosmos and History Publishing Co-op.,Australia,No,NA,,2005,English,Double blind peer review,NA,4,CC BY-NC-ND,True,No
International Journal for Educational Integrity,Springer,Australia,Yes,Yes,DOI,2005,English,Double blind peer review,Yes,22,CC BY,True,Yes
Public History Review,UTS ePRESS,Australia,No,NA,,2006,English,Double blind peer review,Yes,52,CC BY,True,No
New Voices,"The Japan Foundation, Sydney",Australia,No,NA,DOI,2006,English,Double blind peer review,NA,30,Publisher's own license,False,No
"Australasian Accounting, Business and Finance Journal",University of Wollongong,Australia,No,NA,DOI,2007,English,Double blind peer review,NA,24,CC BY-ND,True,No
Python Papers,Python Papers Anthology,Australia,No,NA,,2006,English,Blind peer review,NA,4,CC BY-NC-SA,True,No
Journal of Pacific Rim Psychology,Cambridge University Press,United Kingdom,No,NA,DOI,2017,English,Double blind peer review,NA,20,CC BY-NC-ND,False,No
Shima,Shima Publishing,Australia,No,NA,,2007,English,Double blind peer review,NA,26,CC BY-NC-ND,False,No
Journal of Human Security,Librelloph,Switzerland,Yes,Yes,DOI,2012,English,Blind peer review,NA,8,CC BY,True,Yes
Australasian Journal of Construction Economics and Building,UTS ePRESS,Australia,No,NA,DOI,2010,English,Double blind peer review,Yes,24,CC BY,True,No
EMAJ: Electronic Melbourne Art Journal ,EMAJ,Australia,No,NA,,2005,English,Double blind peer review,NA,40,CC BY-NC-ND,True,No
"Global justice: Theory, Practice, Rhetoric",Global Justice Network ,Germany,No,NA,DOI,2008,English,Peer review,NA,26,Publisher's own license,False,No
Asian Highlands Perspectives ,Asian Highlands Perspectives ,United States,No,NA,,2009,"Chinese, English, Tibetan",Double blind peer review,NA,52,CC BY-NC,True,No
Commonwealth Journal of Local Governance,UTS ePRESS,Australia,No,NA,DOI,2008,English,Double blind peer review,Yes,24,CC BY,True,Yes
Australasian Medical Journal ,Australasian Medical Journal pty ltd.,Australia,Yes,Yes,DOI,2008,English,Open peer review,Yes,5,CC BY,False,No
Gateways : International Journal of Community Research & Engagement,UTS ePRESS,Australia,No,NA,DOI,2008,English,Double blind peer review,Yes,34,CC BY,True,Yes
Transnational Literature,Flinders Humanities Research Centre,Australia,No,NA,,2008,English,Double blind peer review,NA,27,CC BY,True,No
Platform: Journal of Media and Communication,University of Melbourne,Australia,No,NA,,2009,English,Double blind peer review,NA,30,CC BY-NC-ND,True,No
Journal of the Southeast Asian Linguistics Society,University of Hawaii Press,United States,No,NA,Handles,2009,English,Double blind peer review,NA,15,CC BY-NC-ND,True,No
Digital Culture & Education ,Digital Culture & Education (DCE),Australia,No,NA,,2009,English,Double blind peer review,NA,8,CC BY-NC-SA,False,No
Journal of Social Inclusion,Griffith University,Australia,No,NA,,2010,English,Blind peer review,NA,21,CC BY-NC-ND,True,No
Translation and Interpreting : the International Journal of Translation and Interpreting Research,Western Sydney University,Australia,No,NA,DOI,2009,English,Double blind peer review,NA,40,CC BY,False,No
Journal of Physiotherapy,Elsevier,Australia,No,Yes,DOI,2010,English,Double blind peer review,Yes,6,CC BY-NC-ND,False,No
Cosmopolitan Civil Societies: An Interdisciplinary Journal,UTS ePRESS,Australia,No,NA,DOI,2013,English,Double blind peer review,NA,9,CC BY,True,Yes
Issues in Educational Research,Australian Institutes for Educational Research,Australia,No,NA,,2008,English,Double blind peer review,NA,12,CC BY-ND,True,No
Journal of Cancer,Ivyspring International Publisher,Australia,Yes,NA,DOI,2010,English,Peer review,Yes,12,CC BY-NC,False,No
International Journal of the First Year in Higher Education,Queensland University of Technology,Australia,No,NA,DOI,2010,English,Double blind peer review,NA,16,CC BY,True,No
Theranostics,Ivyspring International Publisher,Australia,Yes,NA,DOI,2011,English,Peer review,Yes,12,CC BY-NC,False,No
Evidence Base,Exeley Inc,United States,No,NA,DOI,2012,English,Double blind peer review,NA,24,CC BY-NC-ND,True,No
Literacy and Numeracy Studies,UTS ePRESS,Australia,No,NA,DOI,2009,English,Double blind peer review,Yes,26,CC BY,True,Yes
International Journal of Rural Law and Policy,UTS ePRESS,Australia,No,NA,,2011,English,Blind peer review,NA,13,CC BY,True,No
Asia Pacific Public Relations Journal,University of Newcastle,Australia,No,NA,,2007,English,Double blind peer review,NA,20,CC BY,True,No
Medicinski Glasnik,Medical Association of Zenica-Doboj Canton,Bosnia and Herzegovina,Yes,Yes,DOI,2004,English,Double blind peer review,NA,8,CC BY-NC-ND,False,No
Acta Medica Academica,Academy of Sciences and Arts of Bosnia and Herzegovina,Bosnia and Herzegovina,No,NA,DOI,2006,English,Double blind peer review,Yes,15,CC BY-NC,False,No
Europe's Journal of Psychology,PsychOpen,Germany,No,NA,DOI,2005,English,Double blind peer review,Yes,31,CC BY,True,Yes
Journal of the European Association for Health Information and Libraries,European Association for Health Information and Libraries,Netherlands,No,NA,,2005,English,Editorial review,NA,4,CC BY,False,No
Anuarul Institutului de Cercetări Socio-Umane „C.S. Nicolăescu-Plopşor”,Editura Academiei Române,Romania,No,NA,,2010,English,Double blind peer review,Yes,24,CC BY-NC,False,No
Studii de Stiinta si Cultura,"Vasile Goldis Western University, Arad",Romania,Yes,NA,,2010,"English, French, German, Romanian; Moldavian; Moldovan",Blind peer review,NA,4,CC BY,False,No
"American, British and Canadian Studies Journal",De Gruyter Open,Poland,No,NA,DOI,2012,"English, French",Blind peer review,Yes,10,CC BY-NC-ND,False,No
Pangeea,Aeternitas,Romania,No,NA,,2001,Romanian; Moldavian; Moldovan,Peer review,NA,2,CC BY,False,No
Romanian Review of Regional Studies,Cluj University Press,Romania,No,NA,,2005,English,Double blind peer review,NA,15,CC BY,False,No
Revista Română de Biblioteconomie și Știința Informării,Romanian Library Association,Romania,No,NA,DOI,2017,English,Double blind peer review,Yes,3,CC BY-NC-ND,True,No
Romanian Review of Political Sciences and International Relations,"Publishing House of the Romanian Academy, Institute of Political Sciences and International Relations ""Ion. I. C. Bratianu""",Romania,No,NA,,2004,English,Blind peer review,NA,6,CC BY-NC,False,No
Management & Marketing,Universitaria Press Craiova,Romania,No,NA,Handles,2006,"English, French",Peer review,Yes,12,CC BY,True,No
Annals of the West University of Timisoara: Mathematics and Computer Science,De Gruyter Open,Poland,No,NA,DOI,2012,English,Peer review,Yes,30,CC BY-NC-ND,True,No
ARS Medica Tomitana,De Gruyter Open,Romania,No,NA,DOI,2012,English,Blind peer review,Yes,12,CC BY-NC-ND,True,No
Pro Ligno,Editura Universitatii Transilvania din Brasov,Romania,No,NA,,2011,English,Open peer review,Yes,6,CC BY-NC,False,No
Synergies Roumanie,Groupe d’Etudes et de Recherches pour le Français Langue Internationale (GERFLINT),France,No,NA,,2006,French,Double blind peer review,Yes,12,CC BY-NC-ND,False,No
Theoretical and Applied Economics,General Association of Economists from Romania,Romania,No,NA,,2006,English,Blind peer review,NA,4,CC BY-NC-SA,False,No
"Scientific Bulletin of the ''Petru Maior"" University of Tîrgu Mureș","Editura Universităţii ""Petru Maior""",Romania,No,NA,,2009,English,Double blind peer review,Yes,6,CC BY-NC-ND,False,No
Scientific Papers Animal Science and Biotechnologies,Agroprint Timisoara,Romania,No,NA,,2007,English,Blind peer review,Yes,10,CC BY,True,No
International Journal of Computers Communications & Control,Agora University of Oradea,Romania,Yes,NA,DOI,2006,English,Blind peer review,Yes,25,CC BY-NC,True,No
Management şi Marketing,De Gruyter Open,Poland,Yes,NA,DOI,2015,English,Double blind peer review,Yes,10,CC BY-NC-ND,True,No
Anadiss,Stefan cel Mare University of Suceava,Romania,No,NA,,2006,"English, French, German, Italian, Spanish; Castilian",Blind peer review,NA,6,CC BY,True,No
Transylvanian Review of Administrative Sciences,Babes Bolyai University,Romania,No,NA,,2005,English,Double blind peer review,Yes,25,CC BY,False,No
Scientific Annals of the Danube Delta Institute,CITDD Publishing House,Romania,No,NA,DOI,2010,English,Peer review,NA,10,CC BY-NC-ND,False,No
Review of Historical Geography and Toponomastics,West University of Timisoara,Romania,No,NA,,2006,English,Peer review,NA,24,CC BY,True,No
Societate şi Politică ,Universitatea de Vest Vasile Goldis din Arad,Romania,No,NA,,2007,English,Blind peer review,NA,16,CC BY,False,No
Journal of Philosophical Economics,Rosetti Internaţional,Romania,No,NA,,2007,"English, French, German",Double blind peer review,NA,28,Publisher's own license,True,No
Balkan Society of Geometers Proceedings,"Geometry Balkan Press, Bucharest",Romania,No,NA,,1997,English,Double blind peer review,NA,8,Publisher's own license,False,No
Journal of Industrial Design and Engineering Graphics,SORGING,Romania,Yes,NA,,2006,English,Blind peer review,NA,12,Publisher's own license,False,No
Studii si Cercetari Filolgice: Seria Limbi Romanice,Editura Universitatii din Pitesti,Romania,No,NA,,2007,"French, Italian, Portuguese, Spanish; Castilian",Blind peer review,Yes,8,CC BY-NC-ND,True,No
Annals of the University Dunarea de Jos of Galati. Fascicle VI: Food Technology,Galati University Press,Romania,No,NA,,2007,English,Blind peer review,NA,6,Publisher's own license,False,No
Bulletin of University of Agricultural Sciences and Veterinary Medicine Cluj-Napoca: Agriculture,AcademicPres,Romania,Yes,NA,DOI,2006,English,Double blind peer review,Yes,8,CC BY-NC-ND,False,No
Bulletin of University of Agricultural Sciences and Veterinary Medicine Cluj-Napoca: Horticulture,AcademicPres,Romania,Yes,NA,,2006,English,Double blind peer review,Yes,8,CC BY-NC-ND,False,No
Bulletin of University of Agricultural Sciences and Veterinary Medicine Cluj-Napoca. Animal Science and Biotechnologies,AcademicPres,Romania,Yes,NA,DOI,2006,English,Double blind peer review,Yes,8,CC BY-NC-ND,False,No
Bulletin of University of Agricultural Sciences and Veterinary Medicine Cluj-Napoca: Veterinary Medicine,AcademicPres,Romania,Yes,NA,DOI,2006,English,Double blind peer review,Yes,4,CC BY-NC-ND,False,No
Journal of Identity and Migration Studies,"Research Centre on Identity and Migration Studies-RCIMI, University of Oradea",Romania,No,NA,,2007,English,Double blind peer review,Yes,20,CC BY,False,No
Geographia Napocensis,Romanian Academy,Romania,No,NA,,2007,"English, Romanian; Moldavian; Moldovan",Double blind peer review,NA,10,CC BY,True,No
Human Geographies: Journal of Studies and Research in Human Geography,University of Bucharest,Romania,No,NA,DOI,2007,English,Double blind peer review,Yes,8,CC BY,True,No
Surveys in Mathematics and its Applications,University Constantin Brancusi of Targu-Jiu,Romania,No,NA,,2006,"English, French",Blind peer review,Yes,25,CC BY,True,No
Carpathian Journal of Electrical Engineering,Technical University of Cluj-Napoca,Romania,No,NA,,2010,English,Double blind peer review,NA,10,Publisher's own license,False,No
"Annals of the University of Oradea: Fascicle of Textiles, Leatherwork",Editura Universităţii din Oradea,Romania,No,NA,,2011,English,Blind peer review,Yes,4,CC BY-NC,False,No
Medicamentul Veterinar  ,Romanian National Association of the Veterinary Products Manufacturers,Romania,No,NA,,2007,"English, Romanian; Moldavian; Moldovan",Peer review,NA,20,CC BY,False,No
Scientific Bulletin of Valahia University: Materials and Mechanics,Valahia University Press,Romania,No,NA,,2010,English,Double blind peer review,Yes,4,CC BY,False,No
Revista de Turism: Studii si Cercetari in Turism,Universitatii Suceava,Romania,No,NA,,2006,English,Blind peer review,Yes,4,CC BY,False,No
Journal of Electrical and Electronics Engineering,Editura Universităţii din Oradea,Romania,No,NA,,2012,English,Double blind peer review,NA,16,CC BY-NC,False,No
RATE Issues,Romanian Association of Teachers of English,Romania,No,NA,,2008,English,Double blind peer review,Yes,4,CC BY-NC-SA,True,No
Fiabilitate şi Durabilitate,Academica Brancusi,Romania,No,NA,,2008,English,Double blind peer review,NA,4,CC BY,False,No
Lakes Reservoirs and Ponds,Romanian Limnogeographical Association,Romania,No,NA,,2008,English,Blind peer review,NA,8,CC BY-NC-ND,True,No
Strategii Manageriale,"Universităţii ""Constantin Brâncoveanu""",Romania,No,NA,,2008,"English, Romanian; Moldavian; Moldovan",Double blind peer review,NA,6,CC BY-NC,False,No
Comunicare Interculturală şi Literatură,Casa Cărții de Știință,Romania,No,NA,,2010,"English, French, Romanian; Moldavian; Moldovan",Blind peer review,Yes,12,CC BY,False,No
Analele Universităţii Constantin Brâncuşi din Târgu Jiu : Seria Economie ,Academica Brâncuşi,Romania,Yes,NA,Handles,2007,English,Peer review,NA,4,CC BY,False,No
Acta Universitatis Danubius: Communicatio,Danubius University ,Romania,No,NA,,2007,"English, French",Blind peer review,Yes,16,CC BY,True,No
Acta Universitatis Danubius: Juridica,Danubius University ,Romania,No,NA,,2005,"English, French",Blind peer review,Yes,12,CC BY,True,No
Annals of Forest Research,‘Marin Drăcea’ National Research-Development Institute in Forestry,Romania,No,NA,DOI,2008,English,Double blind peer review,NA,12,Publisher's own license,False,No
"Messages, Sages and Ages",De Gruyter Open,Romania,Yes,NA,DOI,2015,English,Double blind peer review,Yes,8,CC BY-NC-ND,True,No
Carpathian Journal of Electronic and Computer Engineering,UT Press Publishing House,Romania,No,NA,vol.nr.NN.vV ,2012,English,Double blind peer review,NA,12,CC BY-ND,False,No
Osječki Matematički List,University of Osijek,Croatia,No,NA,,2005,"Croatian, English",Blind peer review,NA,20,CC BY-NC,False,No
Journal of Communications Software and Systems,Croatian Communications and Information Society (CCIS),Croatia,Yes,Yes,DOI,2006,English,Blind peer review,Yes,6,CC BY-NC,False,No
Anali Hrvatskog Politološkog Društva,"Faculty of Political Science, University of Zagreb, Croatia",Croatia,No,NA,,2004,"Croatian, English",Double blind peer review,NA,52,CC BY-NC-SA,True,No
Journal of Information and Organizational Sciences ,"University of Zagreb, Faculty of organization and informatics",Croatia,No,NA,,2006,English,Peer review,NA,12,CC BY-NC-ND,False,No
Journal of Computing and Information Technology,University of Zagreb Faculty of Electrical Engineering and Computing,Croatia,No,NA,DOI,1993,English,Blind peer review,Yes,26,CC BY-ND,True,No
Bulletin of the International Association for Paleodontology,International Association for Paleodontology,Croatia,No,NA,,2007,English,Blind peer review,NA,12,CC BY-NC-ND,False,No
"Libellarium: Journal for the Research of Writing, Books, and Cultural Heritage Institutions",University of Zadar,Croatia,No,NA,DOI,2008,"Croatian, English",Peer review,NA,14,CC BY,True,No
Financial Theory and Practice,Institute of Public Finance,Croatia,No,NA,DOI,2005,English,Peer review,Yes,15,CC BY-ND,False,No
Acta Pharmaceutica,De Gruyter Open,Poland,Yes,NA,DOI,2007,English,Peer review,Yes,20,CC BY-NC-ND,False,No
Croatian Journal of Food Science and Technology,"Josip Juraj Strossmayer University of Osijek, Faculty of Food Technology Osijek",Croatia,No,NA,DOI,2015,English,Blind peer review,Yes,12,CC BY-NC-SA,False,No
"Organization, Technology and Management in Construction: An International Journal",De Gruyter Open,Poland,No,NA,DOI,2016,English,Double blind peer review,Yes,16,CC BY-NC-ND,False,No
European Journal of Bioethics,"University of Rijeka, School of Medicine",Croatia,No,NA,,2015,"Croatian, English",Double blind peer review,NA,20,CC BY,True,No
South-East European Forestry,Croatian Forest Research Institute,Croatia,No,NA,DOI,2010,English,Double blind peer review,NA,8,CC BY,False,No
[sic],University of Zadar,Croatia,No,NA,DOI,2010,"Croatian, English",Blind peer review,Yes,24,CC BY-NC-ND,False,No
e-GFOS ,Faculty of Civil Engineering Osijek,Croatia,No,NA,DOI,2010,English,Peer review,Yes,24,CC BY-NC-ND,False,No
Journal of Electrochemical Science and Engineering,International Association of Physical Chemists (IAPC),Croatia,No,NA,DOI,2011,English,Peer review,NA,6,CC BY,False,No
Business Systems Research,De Gruyter Open,Poland,Yes,NA,DOI,2010,English,Blind peer review,Yes,22,CC BY-NC-ND,True,No
TEDI,University of Zagreb & Croatian Ichthyological Society,Croatia,No,NA,,2011,"Croatian, English",Peer review,NA,15,CC BY-NC-SA,False,No
Medijske Studije,"Faculty of Political Science, University of Zagreb",Croatia,No,NA,,2010,"Croatian, English",Double blind peer review,NA,50,CC BY,True,No
International Journal of Engineering Business Management ,SAGE Publishing,United Kingdom,Yes,Yes,DOI,2009,English,Double blind peer review,Yes,15,CC BY,True,Yes
